RS,LR_Tr_Acc,LR_Te_Acc,LR_TN,LR_FN,LR_FP,LR_TP,LR_corr,SV_Tr_Acc,SV_Te_Acc,SV_TN,SV_FN,SV_FP,SV_TP,SV_corr,TR_Tr_Acc,TR_Te_Acc,TR_TN,TR_FN,TR_FP,TR_TP,TR_corr,KNN_Tr_Acc,KNN_Te_Acc,KNN_TN,KNN_FN,KNN_FP,KNN_TP,KNN_corr
45,0.763888888888888,1.000000000000000,6,0,0,12,1.000000000000000,0.791666666666666,0.944444444444444,6,1,0,11,0.944444444444444,0.847222222222222,0.777777777777777,6,1,0,11,0.944444444444444,0.805555555555555,0.944444444444444,6,1,0,11,0.944444444444444
46,0.861111111111111,0.666666666666666,2,0,6,10,0.666666666666667,0.861111111111111,0.722222222222222,3,0,5,10,0.722222222222222,0.902777777777777,0.555555555555555,3,0,5,10,0.722222222222222,0.875000000000000,0.722222222222222,3,0,5,10,0.722222222222222
47,0.819444444444444,0.888888888888888,4,0,2,12,0.888888888888889,0.847222222222222,0.888888888888888,4,0,2,12,0.888888888888889,0.916666666666666,0.833333333333333,4,0,2,12,0.888888888888889,0.847222222222222,0.833333333333333,4,1,2,11,0.833333333333333
48,0.819444444444444,0.888888888888888,6,0,2,10,0.888888888888889,0.847222222222222,0.888888888888888,6,0,2,10,0.888888888888889,0.888888888888888,0.944444444444444,6,0,2,10,0.888888888888889,0.833333333333333,0.833333333333333,5,0,3,10,0.833333333333333
49,0.861111111111111,0.777777777777777,2,0,4,12,0.777777777777778,0.847222222222222,0.833333333333333,3,0,3,12,0.833333333333333,0.930555555555555,0.777777777777777,3,0,3,12,0.833333333333333,0.861111111111111,0.666666666666666,1,1,5,11,0.666666666666667
50,0.833333333333333,0.888888888888888,2,0,2,14,0.888888888888889,0.833333333333333,0.833333333333333,2,1,2,13,0.833333333333333,0.888888888888888,0.944444444444444,2,1,2,13,0.833333333333333,0.847222222222222,0.888888888888888,2,0,2,14,0.888888888888889
51,0.833333333333333,0.833333333333333,5,0,3,10,0.833333333333333,0.847222222222222,0.833333333333333,5,0,3,10,0.833333333333333,0.902777777777777,0.722222222222222,5,0,3,10,0.833333333333333,0.861111111111111,0.722222222222222,4,1,4,9,0.722222222222222
52,0.791666666666666,0.833333333333333,3,0,3,12,0.833333333333333,0.791666666666666,0.944444444444444,5,0,1,12,0.944444444444444,0.875000000000000,0.888888888888888,5,0,1,12,0.944444444444444,0.833333333333333,0.833333333333333,3,0,3,12,0.833333333333333
53,0.833333333333333,0.888888888888888,4,0,2,12,0.888888888888889,0.847222222222222,0.888888888888888,4,0,2,12,0.888888888888889,0.888888888888888,0.888888888888888,4,0,2,12,0.888888888888889,0.847222222222222,0.888888888888888,2,0,2,12,0.875000000000000
54,0.833333333333333,0.888888888888888,4,1,1,12,0.888888888888889,0.833333333333333,0.888888888888888,4,1,1,12,0.888888888888889,0.875000000000000,0.611111111111111,4,1,1,12,0.888888888888889,0.819444444444444,0.888888888888888,3,0,2,13,0.888888888888889
55,0.861111111111111,0.777777777777777,6,1,3,8,0.777777777777778,0.861111111111111,0.777777777777777,6,1,3,8,0.777777777777778,0.930555555555555,0.833333333333333,6,1,3,8,0.777777777777778,0.875000000000000,0.777777777777777,6,1,3,8,0.777777777777778
56,0.861111111111111,0.833333333333333,6,1,2,9,0.833333333333333,0.875000000000000,0.777777777777777,6,2,2,8,0.777777777777778,0.902777777777777,0.555555555555555,6,2,2,8,0.777777777777778,0.875000000000000,0.777777777777777,5,1,3,9,0.777777777777778
57,0.875000000000000,0.666666666666666,5,1,5,7,0.666666666666667,0.902777777777777,0.666666666666666,5,1,5,7,0.666666666666667,0.930555555555555,0.722222222222222,5,1,5,7,0.666666666666667,0.902777777777777,0.722222222222222,5,0,5,8,0.722222222222222
58,0.833333333333333,0.777777777777777,3,0,4,11,0.777777777777778,0.847222222222222,0.777777777777777,3,0,4,11,0.777777777777778,0.902777777777777,0.833333333333333,3,0,4,11,0.777777777777778,0.875000000000000,0.777777777777777,3,0,4,11,0.777777777777778
59,0.819444444444444,0.888888888888888,4,0,2,12,0.888888888888889,0.847222222222222,0.888888888888888,4,0,2,12,0.888888888888889,0.888888888888888,0.722222222222222,4,0,2,12,0.888888888888889,0.847222222222222,0.888888888888888,4,0,2,12,0.888888888888889
60,0.791666666666666,0.944444444444444,3,0,1,14,0.944444444444444,0.805555555555555,0.944444444444444,4,1,0,13,0.944444444444444,0.875000000000000,0.888888888888888,4,1,0,13,0.944444444444444,0.819444444444444,0.944444444444444,3,0,1,14,0.944444444444444
61,0.833333333333333,0.722222222222222,3,1,5,10,0.684210526315789,0.833333333333333,0.833333333333333,6,1,2,9,0.833333333333333,0.888888888888888,0.888888888888888,6,1,2,9,0.833333333333333,0.847222222222222,0.722222222222222,4,1,4,9,0.722222222222222
62,0.861111111111111,0.777777777777777,4,3,1,10,0.777777777777778,0.847222222222222,0.833333333333333,4,2,1,11,0.833333333333333,0.875000000000000,0.833333333333333,4,2,1,11,0.833333333333333,0.861111111111111,0.833333333333333,3,1,2,12,0.833333333333333
63,0.861111111111111,0.722222222222222,3,2,3,10,0.722222222222222,0.875000000000000,0.777777777777777,3,1,3,11,0.777777777777778,0.916666666666666,0.833333333333333,3,1,3,11,0.777777777777778,0.861111111111111,0.777777777777777,2,0,4,12,0.777777777777778
64,0.847222222222222,0.888888888888888,5,2,0,11,0.888888888888889,0.875000000000000,0.833333333333333,5,1,2,10,0.833333333333333,0.888888888888888,0.833333333333333,5,1,2,10,0.833333333333333,0.847222222222222,0.888888888888888,5,0,2,11,0.888888888888889
65,0.861111111111111,0.611111111111111,1,0,7,10,0.611111111111111,0.847222222222222,0.833333333333333,5,0,3,10,0.833333333333333,0.902777777777777,0.777777777777777,5,0,3,10,0.833333333333333,0.875000000000000,0.666666666666666,2,0,6,10,0.666666666666667
66,0.861111111111111,0.722222222222222,3,0,5,10,0.722222222222222,0.875000000000000,0.777777777777777,4,0,4,10,0.777777777777778,0.902777777777777,0.777777777777777,4,0,4,10,0.777777777777778,0.875000000000000,0.777777777777777,4,0,4,10,0.777777777777778
67,0.861111111111111,0.666666666666666,5,0,6,7,0.666666666666667,0.861111111111111,0.722222222222222,7,1,4,6,0.722222222222222,0.916666666666666,0.833333333333333,7,1,4,6,0.722222222222222,0.902777777777777,0.666666666666666,5,0,6,7,0.666666666666667
68,0.875000000000000,0.722222222222222,2,2,3,11,0.722222222222222,0.888888888888888,0.666666666666666,2,3,3,10,0.666666666666667,0.902777777777777,0.888888888888888,2,3,3,10,0.666666666666667,0.888888888888888,0.777777777777777,2,1,3,12,0.777777777777778
69,0.805555555555555,0.833333333333333,4,0,3,11,0.833333333333333,0.805555555555555,1.000000000000000,7,0,0,11,1.000000000000000,0.861111111111111,0.777777777777777,7,0,0,11,1.000000000000000,0.847222222222222,0.944444444444444,6,0,1,11,0.944444444444444
